# Twilight Struggle canonical country data - Deluxe Edition
#
# Sources: GMT Games Twilight Struggle Deluxe Edition rulebook (setup diagram p.7,
#   board artwork); ITS competitive rules.
#
# country_id: 0-based sequential integer.
#   Assigned in region order (matching ts::Region enum in cpp/tscore/types.hpp):
#   Europe, Asia, MiddleEast, CentralAmerica, SouthAmerica, Africa, SoutheastAsia.
#   Within each region: alphabetical order.
#   Special superpower anchor ids at end (not normal board countries):
#     75 = USA homeland anchor (used for adjacency only)
#     76 = USSR homeland anchor (used for adjacency only)
#
# region: Europe | Asia | MiddleEast | CentralAmerica | SouthAmerica | Africa | SoutheastAsia
#   SoutheastAsia is the TS scoring sub-region (scored by Southeast Asia Scoring card).
#   Countries in SoutheastAsia do NOT count for Asia Scoring (only SE Asia Scoring).
#   EXCEPTION: South Korea and Japan are Asia (not SoutheastAsia) for scoring.
#
# stability: integer 1-5
# is_battleground: true = worth extra VP in scoring; required for domination/control
# us_start_influence: starting US influence (per rulebook p.7 setup)
# ussr_start_influence: starting USSR influence
#
# UNCERTAIN values are noted inline.
# Key setup uncertainties that need verification against physical rulebook:
#   - Italy: US start influence 0 or 1?
#   - UK: US start influence 4 or 5?
#   - Hungary: USSR start influence 0 or 1?
#   - Yugoslavia: 0/0 confirmed?
#   - Saudi Arabia: 0/0 confirmed?
#   - Gulf States: 0/0 confirmed?
#
country_id,name,region,stability,is_battleground,us_start_influence,ussr_start_influence
54,Uruguay,SouthAmerica,2,false,0,0
55,Venezuela,SouthAmerica,2,true,0,0
# South America setup notes:
#   All countries start 0/0 influence.
#   UNCERTAIN: Uruguay stability. Some sources say 2.
# ---- Africa (ids 56-73) ----
56,Algeria,Africa,2,true,0,0
57,Angola,Africa,1,true,0,0
58,Botswana,Africa,2,false,0,0
59,Cameroon,Africa,1,false,0,0
60,Congo/Zaire,Africa,2,true,0,0
61,Ethiopia,Africa,1,true,0,0
62,Ivory Coast,Africa,2,false,0,0
63,Kenya,Africa,2,false,0,0
# id=64: Libya was incorrectly placed in Africa. Libya is MiddleEast only (id=33).
# id=64 is reserved for future reassignment. See FIXME note below.
65,Morocco,Africa,3,true,0,0
66,Mozambique,Africa,1,false,0,0
67,Nigeria,Africa,1,true,0,0
68,Saharan States,Africa,1,false,0,0
69,SE African States,Africa,1,false,0,0
70,Somalia,Africa,2,false,0,0
71,South Africa,Africa,3,true,1,0
72,Sudan,Africa,1,false,0,0
73,Tunisia,Africa,2,false,0,0
74,Zimbabwe,Africa,1,false,0,0
# Africa setup notes:
#   US: South Africa=1; all others 0
#   USSR: all 0
#   UNCERTAIN: exact country list for Africa. The board has ~18 African countries.
#   Known battlegrounds: Algeria, Angola, Ethiopia, Morocco, Nigeria, South Africa,
#     Zaire/Congo. Verify each battleground status.
#   FIXME: Libya conflict above (id=33 is correct MiddleEast; id=64 reassigned).
#   Reassign id=64: Ivory Coast or confirm actual board country at that position.
# ---- Southeast Asia (ids 75-82) ----
# SoutheastAsia is scored by the Southeast Asia Scoring card (Mid War, starred).
# These countries do NOT count for Asia Scoring.
75,Burma,SoutheastAsia,2,false,0,0
76,Indonesia,SoutheastAsia,1,true,0,0
77,Laos/Cambodia,SoutheastAsia,1,false,0,0
78,Philippines,SoutheastAsia,2,true,1,0
79,Thailand,SoutheastAsia,2,true,0,0
80,Vietnam,SoutheastAsia,1,true,0,0
# Southeast Asia setup notes:
#   US: Philippines=1; all others 0
#   USSR: all 0 (Vietnam=0 confirmed from log brackets — no fixed setup placement)
#   NOTE: Indonesia and Malaysia are SEPARATE countries in the TSEspionage mod.
#         Stability confirmed from coup logs:
#           Indonesia: 5 + 1 - 2x1 = 4  → stab=1 (battleground)
#           Malaysia:  4 + 3 - 2x2 = 3  → stab=2 (non-battleground)
#         The physical board combines them as "Indonesia/Malaysia" but the mod separates them.
#   NOTE: "Laos/Cambodia" is one board space in TS.
#   UNCERTAIN: Thailand is_battleground=true. Verify (some sources disagree).
# ---- Superpower homeland anchors (not normal countries) ----
# These are used only in adjacency.csv to anchor countries adjacent to each superpower.
# They have no influence, stability, or scoring role.
81,USA,Europe,0,false,0,0
82,USSR,Europe,0,false,0,0
# NOTE: USA and USSR anchors are assigned to region=Europe arbitrarily since they
# are not scored. The engine should never score or coup these entries.
# Their region field is unused for game logic; adjacency is the only use.
# ---- Additional European country missing from id 0-19 range ----
# Bulgaria is on the standard TS board but was omitted from the Europe id block.
# Assigned id=83 (after superpowers). Adjacent to Romania, Yugoslavia, Turkey, Greece.
83,Bulgaria,Europe,3,false,0,0
# Malaysia is id=84 (separate from Indonesia, as seen in TSEspionage mod logs).
# Adjacent to Indonesia (76) and Thailand (79). Non-battleground, stability=2.
84,Malaysia,SoutheastAsia,2,false,0,0
85,Taiwan,Asia,3,false,0,0
